Name,URL,Premium,Published,Last updated,Editor type,Date created
Dave Ray ,https://www.daverayspeaks.com/,TRUE,TRUE,2025-07-15T04:34:53.205Z,EDITOR,2025-03-28T22:51:20.528Z
David Ward,https://thespeakerlab.wixsite.com/david-ward,FALSE,TRUE,2025-07-14T20:58:05.863Z,EDITOR,2025-04-29T22:21:16.581Z
Ellen Divers ,https://thespeakerlab.wixsite.com/ellen-divers,FALSE,TRUE,2025-06-27T17:13:05.700Z,EDITOR,2025-06-12T00:12:24.332Z
Gemma Bulos,https://gemmabulos.wixsite.com/gemma-bulos,TRUE,TRUE,2025-06-23T00:26:25.499Z,EDITOR,2024-12-13T01:11:16.536Z
Chris Schroeder,https://www.drchrisspeaks.com/,TRUE,TRUE,2025-06-19T14:34:38.798Z,EDITOR,2025-02-27T23:11:45.164Z
Jeremy Sanford,,FALSE,FALSE,2025-06-12T00:14:52.222Z,EDITOR,2025-06-12T00:14:52.222Z
Russell Weaver ,,FALSE,FALSE,2025-06-12T00:07:57.158Z,EDITOR,2025-06-12T00:07:57.158Z
Steve Reese ,https://thespeakerlab.wixsite.com/steven-reese,FALSE,TRUE,2025-05-28T16:19:36.178Z,EDITOR,2025-04-15T22:51:29.646Z
Emma & Dan's Journey,https://www.emmaanddansjourney.com/,TRUE,TRUE,2025-05-20T15:27:24.926Z,EDITOR,2024-03-15T20:16:30.571Z
Nick Gravina ,https://thespeakerlab.wixsite.com/nick-gravina,FALSE,TRUE,2025-05-15T01:25:01.435Z,EDITOR,2025-03-28T22:55:56.078Z
Paul Wilson,https://thespeakerlab.wixsite.com/paul-wilson,FALSE,TRUE,2025-05-13T19:42:20.265Z,EDITOR,2025-04-29T22:16:45.187Z
Russell Seaver ,,FALSE,FALSE,2025-04-29T22:18:29.924Z,EDITOR,2025-04-29T22:18:29.924Z
Stephen Kane,https://thespeakerlab.wixsite.com/steve-kane,FALSE,TRUE,2025-04-23T02:40:00.519Z,EDITOR,2025-04-02T22:53:07.773Z
Renae Scott,https://renae242.wixsite.com/renae-scott,FALSE,TRUE,2025-04-13T16:57:48.698Z,EDITOR,2024-09-05T19:40:53.850Z
Mitch Duckler ,https://thespeakerlab.wixsite.com/mitch-duckler,FALSE,TRUE,2025-04-13T00:09:02.256Z,EDITOR,2025-02-27T23:16:47.773Z
Nicole Fissel ,https://thespeakerlab.wixsite.com/nicole-fissel,FALSE,TRUE,2025-04-09T00:54:59.452Z,EDITOR,2025-03-20T23:31:19.643Z
Jordan Reeves New,https://thespeakerlab.wixsite.com/jordan-reeves-2,FALSE,TRUE,2025-04-07T22:23:45.191Z,EDITOR,2025-02-07T18:22:50.136Z
Joseph Busby,https://www.casinowatchtower.com/,TRUE,TRUE,2025-04-03T16:45:06.496Z,EDITOR,2025-02-27T23:14:10.546Z
Isaac Amon,https://www.isaacamon.com/,TRUE,TRUE,2025-03-25T05:45:48.799Z,EDITOR,2025-01-03T20:32:59.413Z
Asmar KC Townes,https://kctownes0.wixsite.com/kc-townes,FALSE,TRUE,2025-03-19T14:54:09.602Z,EDITOR,2024-12-17T23:29:38.437Z
Jennifer Salisbury ,https://www.jensalspeaks.com/,TRUE,TRUE,2025-03-18T06:52:05.164Z,EDITOR,2025-01-07T23:38:11.843Z
Jeanette Young Skewes,https://thespeakerlab.wixsite.com/jeanette-skewes-yng,FALSE,TRUE,2025-03-17T00:07:30.189Z,EDITOR,2025-03-13T22:58:32.300Z
Nick Mornard,https://www.nickmornard.com/,TRUE,TRUE,2025-02-21T01:09:46.865Z,EDITOR,2025-01-03T20:29:18.631Z
Jordan Reeves ,https://thespeakerlab.wixsite.com/jordan-reeves,FALSE,TRUE,2025-02-06T02:41:33.362Z,EDITOR,2025-01-16T21:23:32.746Z
Brian Sexton,https://www.briansexton.net/,TRUE,TRUE,2025-01-27T17:03:48.798Z,EDITOR,2024-11-22T22:07:47.850Z
Kerel Pinder ,https://thespeakerlab.wixsite.com/kerel-pinder,FALSE,TRUE,2025-01-23T20:03:15.650Z,EDITOR,2024-12-17T23:35:56.931Z
Isaac Amon 1,,FALSE,FALSE,2025-01-23T00:07:30.507Z,EDITOR,2025-01-22T22:45:55.943Z
Emmanuel Nzuzu,https://valueyou30.wixsite.com/emmanuel-nzuzu,FALSE,TRUE,2024-12-13T22:03:40.311Z,EDITOR,2024-11-25T17:47:08.165Z
Tania Jeppesen ,https://tania3487.wixsite.com/tania-jeppesen,FALSE,TRUE,2024-12-12T19:15:06.794Z,EDITOR,2024-09-26T21:32:25.758Z
Daniel MacDonald,https://thespeakerlab.wixsite.com/daniel-macdonald,FALSE,TRUE,2024-11-07T02:52:38.277Z,EDITOR,2024-10-18T00:27:50.062Z
Dan Brule ,https://thespeakerlab.wixsite.com/dan-brule,FALSE,TRUE,2024-10-07T15:10:08.259Z,EDITOR,2024-09-18T00:42:02.373Z
Brittny Richardson,https://tcmbri24.wixsite.com/brittny-richardson,FALSE,TRUE,2024-10-05T14:31:28.804Z,EDITOR,2024-09-05T19:37:03.590Z
Nelly Ortiz,https://thespeakerlab.wixsite.com/nelly-ortiz,FALSE,TRUE,2024-10-03T18:00:51.825Z,EDITOR,2024-09-13T17:41:45.633Z
Steve Drabek ,https://thespeakerlab.wixsite.com/steve-drabek,FALSE,TRUE,2024-09-07T20:39:14.292Z,EDITOR,2024-08-29T19:29:02.874Z
Diane Bradford,,FALSE,FALSE,2024-08-26T23:31:20.713Z,EDITOR,2024-08-26T23:31:20.713Z
Jen Rogers,https://thespeakerlab.wixsite.com/jen-rogers,FALSE,TRUE,2024-08-05T19:30:32.422Z,EDITOR,2024-06-04T11:47:11.215Z
Alexis King,https://thespeakerlab.wixsite.com/alexis-king,FALSE,TRUE,2024-07-18T19:41:41.922Z,EDITOR,2024-06-14T00:10:19.572Z
Kamilla Pinel,,FALSE,FALSE,2024-07-14T07:44:10.530Z,EDITOR,2024-04-03T21:54:24.710Z
Jim Best ,https://thespeakerlab.wixsite.com/jim-best,FALSE,TRUE,2024-07-12T06:01:30.017Z,EDITOR,2024-06-18T18:57:23.774Z
